label,sms
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx   
ham,Are u awake? Is there snow there?   
ham,Let me know how to contact you. I've you settled in a room. Lets know you are ok.   
ham,Don no da:)whats you plan?   
ham,Its ok..come to my home it vl nice to meet and v can chat..   
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)   
ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(   "
ham,Ffffffffff. Alright no way I can meet up with you sooner?   
ham,Lol well don't do it without me. We could have a big sale together.   
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)   "
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!   "
ham,I re-met alex nichols from middle school and it turns out he's dealing!   
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!   "
ham,When should I come over?   
ham,ÌÏ called dad oredi...   
ham,X course it 2yrs. Just so her messages on messenger lik you r sending me   
ham,I think steyn surely get one wicket:)   
ham,yay! finally lol. i missed our cinema trip last week :-(   
ham,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.   
ham,Okie... Thanx...   
ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!    "
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.    
ham,Love you aathi..love u lot..   
ham,"U so lousy, run already come back then half dead... Hee...   "
ham,I know she called me   
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info   
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.   "
ham,Nan sonathaya soladha. Why boss?   
ham,Yar lor... How u noe? U used dat route too?   
ham,I borrow ur bag ok.   
ham,Lol I would but despite these cramps I like being a girl.   
spam,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X   "
ham,Just sent it. So what type of food do you like?   
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then   
ham,I HAVE A DATE ON SUNDAY WITH WILL!!   
ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/   
ham,Just sleeping..and surfing   
ham,It's Ì© only $140 ard...Ìä rest all ard $180 at least...Which is Ì© price 4 Ì© 2 bedrm ($900)   
ham,"Come to me right now, Ahmad   "
ham,"\HEY KATE  HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.\""""  "
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?   "
ham,Hey gals...U all wanna meet 4 dinner at nÌÂte?    
ham,Yup... I havent been there before... You want to go for the yoga? I can call up to book    
ham,I can't describe how lucky you are that I'm actually awake by noon   
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C   
ham,No problem. Talk to you later   
ham,Hello madam how are you ?   
ham,Just glad to be talking to you.   
ham,Hey you around? I've got enough for a half + the ten I owe you   
ham,Yes princess! I want to catch you with my big strong hands...   
ham,Yar but they say got some error.   
ham,"No I'm good for the movie, is it ok if I leave in an hourish?   "
ham,Have a good evening! Ttyl   
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs   "
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs   
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX   
spam,Win a å£1000 cash prize or a prize worth å£5000   
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.   "
ham,"Not much, just some textin'. How bout you?   "
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+    
ham,I called but no one pick up e phone. I ask both of them already they said ok.   
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?   
ham,Sday only joined.so training we started today:)   
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""   "
ham,Yeah I can still give you a ride   
ham,"Sorry, I'll call later in meeting.   "
spam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412   
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/   
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.   
ham,Once free call me sir.   
ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT   "
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.   
ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.   
ham,"Sorry, I'll call you  later. I am in meeting sir.   "
ham,Now press conference da:)   
ham,So Ì_'ll be submitting da project tmr rite?   
ham,Anything lor... U decide...   
ham,The hair cream has not been shipped.   
ham,Tell me something. Thats okay.   
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?   
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe   "
ham,Ill be at yours in about 3 mins but look out for me   
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower   
ham,Ambrith..madurai..met u in arun dha marrge..remembr?   
ham,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.   
ham,No prob. I will send to your email.   
ham,"Ya ok, then had dinner?   "
ham,All will come alive.better correct any good looking figure there itself..   
ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx   
spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04   
spam,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm   
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.   
ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.   
ham,And several to you sir.   
ham,Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...   
ham,Just curious because my cuz asked what I was up to   
ham,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more   "
ham,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.   "
ham,Then she dun believe wat?   
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL   "
ham,Thats cool. i liked your photos. You are very sexy!   
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem   
ham,I wanna watch that movie   
ham,say thanks2.    
spam,Urgent Please call 09066612661 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ ‰ÛÏ   
ham,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""   "
spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@å£1.50rcvd   
ham,Tmrw. Im finishing 9 doors   
ham,"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\""""   "
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.   "
ham,2 and half years i missed your friendship:-)   
spam,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50   
ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)   
ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323   
ham,Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.   
ham,"Well, i'm glad you didn't find it totally disagreeable ... Lol   "
ham,Hmmm.but you should give it on one day..   
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?    
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com   
ham,I'm home.   
ham,Waiting for your call.   
ham,U call me alter at 11 ok.   
spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk   "
spam,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???   
ham,"Aight, we'll head out in a few   "
ham,K.k:)when are you going?   
ham,Did u find out what time the bus is at coz i need to sort some stuff out.   
ham,S:-)kallis wont play in first two odi:-)   
ham,"Playin space poker, u?   "
ham,"This is one of the days you have a billion classes, right?   "
ham,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x   "
ham,Two teams waiting for some players   
ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time   "
ham,The evo. I just had to download flash. Jealous?   
spam,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk   
ham,Nt joking seriously i told   
ham,Dunno lei he neva say...   
ham,K...k:)why cant you come here and search job:)   
spam,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery   
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .   
ham,Its good to hear from you   
ham,";-( oh well, c u later   "
ham,"Princess, is your kitty shaved or natural?   "
ham,What does the dance river do?   
ham,How would my ip address test that considering my computer isn't a minecraft server   
ham,At what time are you coming.   
ham,What time. I‰Û÷m out until prob 3 or so   
spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones   
ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).   "
ham,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later   
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?   
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...   
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc   "
ham,"\HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY  HAD A COOL NYTHO  TX 4 FONIN HON  CALL 2MWEN IM BK FRMCLOUD 9! J X\"""""
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.   
ham,"I'd say that's a good sign but, well, you know my track record at reading women   "
ham,Oh just getting even with u.... u?   
ham,So dont use hook up any how   
ham,Who's there say hi to our drugdealer   
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!   "
ham,I want snow. It's just freezing and windy.   
ham,Are u coming to the funeral home   
ham,I asked you to call him now ok   
ham,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;   
ham,I am not sure about night menu. . . I know only about noon menu   
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love   
ham,Hi good mornin.. Thanku wish u d same..   
ham,Studying. But i.ll be free next weekend.   
ham,Have you heard from this week?   
ham,Mmmm.... I cant wait to lick it!   
ham,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...   
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!   
ham,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)   
ham,Ok thanx... Take care then...   
ham,Geeeee ... I love you so much I can barely stand it   
ham,Whom you waited for yesterday   
ham,"Like  &lt;#&gt; , same question   "
ham,What * u wearing?   
ham,Are you angry with me. What happen dear   
ham,"Okey dokey, i‰Û÷ll be over in a bit just sorting some stuff out.   "
ham,Huh so early.. Then Ì_ having dinner outside izzit?   
ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible   
ham,Thanks for sending this mental ability question..   
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!   
ham,I'm on da bus going home...   
ham,My friends use to call the same.   
ham,"Ta-Daaaaa! I am home babe, are you still up ?   "
ham,"Sorry da thangam, very very sorry i am held up with prasad.   "
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...   
ham,Would me smoking you out help us work through this difficult time   
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner   
ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.   
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468   
ham,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing.   "
ham,He is world famamus....   
ham,Where are the garage keys? They aren't on the bookshelf   
ham,Stupid.its not possible   
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough ‰Û_   "
ham,If he started searching he will get job in few days.he have great potential and talent.   
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)   
ham,Dear reached railway. What happen to you   
ham,"Sorry, I'll call later  &lt;#&gt; mins   "
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x   "
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04   
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!   
ham,Pls send me the correct name da.   
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?   
ham,That's a shame! Maybe cld meet for few hrs tomo?   
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!   "
ham,Have you not finished work yet or something?   
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.   
ham,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.   
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only   
ham,"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\""""   "
ham,O shore are you takin the bus   
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX   
ham,We are both fine. Thanks   
ham,"I can. But it will tell quite long, cos i haven't finish my film yet...   "
ham,"\Im on gloucesterroad what are uup to later?\""""   "
ham,"yeah, that's what I was thinking   "
ham,Then we wait 4 u lor... No need 2 feel bad lar...   
ham,Normally i use to drink more water daily:)   
ham,"Vikky, come around  &lt;TIME&gt; ..   "
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.   "
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.   
ham,Hello! Good week? Fancy a drink or something later?   
ham,I had askd u a question some hours before. Its answer   
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '   "
ham,"Alright we're hooked up, where you guys at   "
ham,Mm have some kanji dont eat anything heavy ok   
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.   "
ham,Leave it. U will always be ignorant.   
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs   
ham,"I want to show you the world, princess :) how about europe?   "
spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription   "
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.   
ham,The wine is flowing and i'm i have nevering..   
ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt;    "
ham,So when do you wanna gym harri   
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r   
ham,One small prestige problem now.   
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876   "
ham,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""   "
spam,"complimentary 4 STAR Ibiza Holiday or å£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+   "
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;   
ham,I thank you so much for all you do with selflessness. I love you plenty.   
ham,"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?   "
ham,K.k:)apo k.good movie.   
ham,"Sir, I am waiting for your mail.   "
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!   
ham,Yeah imma come over cause jay wants to do some drugs   
ham,ÌÏ ready then call me...   
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop.   "
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030   
ham,Yup having my lunch buffet now.. U eat already?   
ham,"Yep, by the pretty sculpture   "
ham,Well you told others you'd marry them...   
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase   
ham,I to am looking forward to all the sex cuddling.. Only two more sleeps    
ham,I'm in office now . I will call you  &lt;#&gt;  min:)   
ham,Sorry de i went to shop.   
ham,"Haha... Sounds crazy, dunno can tahan anot...   "
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx   
ham,I'm gonna rip out my uterus.   
ham,S:)no competition for him.   
ham,Goodmorning today i am late for  &lt;DECIMAL&gt; min.   
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV   
ham,"\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT\""""   "
ham,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x   "
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.   
ham,I accidentally deleted the message. Resend please.   
ham,X2  &lt;#&gt; . Are you going to get that   
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.   
ham,Ugh. Gotta drive back to sd from la. My butt is sore.   
ham,"Nothing much, chillin at home. Any super bowl plan?   "
ham,Shall i start from hear.   
ham,If india win or level series means this is record:)   
ham,Like a personal sized or what   
ham,Lol no. U can trust me.   
ham,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget   "
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?   
ham,"My planning usually stops at \find hella weed  smoke hella weed\""""  "
ham,Hey happy birthday...   
ham,Pls i wont belive god.not only jesus.   
ham,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.   
ham,Ranjith cal drpd Deeraj and deepak 5min hold   
ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...   "
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""   "
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs    
ham,"I think we're going to finn's now, come   "
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI   
ham,So how's the weather over there?   
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm   "
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(   
ham,Ok i msg u b4 i leave my house.   
ham,You still around? I could use a half-8th   
ham,What was she looking for?   
ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?   
ham,Ok can...   
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062   "
ham,I'm at home. Please call   
ham,"I noe la... U wana pei bf oso rite... K lor, other days den...   "
ham,Love you aathi..love u lot..   
ham,when you and derek done with class?   
ham,Are you planning to come chennai?   
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.   "
ham,Haha... Hope Ì_ can hear the receipt sound... Gd luck!   
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU   
ham,Shall i come to get pickle   
ham,Ok...   
ham,I need to come home and give you some good lovin...   
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only   
ham,Ok. C u then.   
ham,"Ah, well that confuses things, doesn‰Û÷t it?   "
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to   "
ham,Thank u!   
ham,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...   
ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.   
ham,"Haven't seen my facebook, huh? Lol!   "
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx   
ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down   
ham,"Whatever, juliana. Do whatever you want.   "
ham,Hey. You got any mail?   
ham,Anything lar...   
ham,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.   
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.   
ham,I might go 2 sch. Yar at e salon now v boring.   
ham,Oops my phone died and I didn't even know. Yeah I like it better.   
ham,"I've got  &lt;#&gt; , any way I could pick up?   "
ham,"\Gimme a few\"" was  &lt;#&gt;  minutes ago""   "
ham,U coming 2 pick me?   
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu   "
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.   
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP   
ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED   
ham,Where are you call me.   
spam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182   "
ham,For my family happiness..   
ham,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.   "
ham,Unlimited texts. Limited minutes.   
ham,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out   
ham,No i am not having not any movies in my laptop   
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm   
ham,Watching ajith film ah?   
ham,"\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But  its a miracle to Love a person who can't Love anyone except U...\"" Gud nyt...""  "
ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.   "
ham,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.   
ham,Just getting back home   
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out   
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs   
ham,"Hi this is yijue, can i meet u at 11 tmr?   "
ham,Dont show yourself. How far. Put new pictures up on facebook.   
ham,"Sorry, I'll call later   "
ham,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave   
ham,Yup   
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive   
ham,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.   
ham,Why she wants to talk to me   
ham,Takin a shower now but yeah I'll leave when I'm done   
ham,I WILL CAL YOU SIR. In meeting   
ham,Dunno lei... I might b eatin wif my frens... If Ì_ wan to eat then i wait 4 Ì_ lar   
ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay   
ham, &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla   
ham,No need to ke qi... ÌÏ too bored izzit y suddenly thk of this...   
